MODEL_LDA;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_NMF;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_LSI;TOPIC INDEX;TOPIC NAME;AVERAGE
all_all_topic;topic 0;redar social;1.0527880722103486;all_all_topic;topic 0;radiar hablar;11.872773306820124;all_all_topic;topic 0;radiar hablar;0.17673426467657322
all_all_topic;topic 0;plan desarrollar;0.5459988847177194;all_all_topic;topic 0;dato actualizar;11.590088228086307;all_all_topic;topic 0;dato actualizar;0.17252630599379767
all_all_topic;topic 0;usar tapaboca;0.5401795338356746;all_all_topic;topic 0;compartir dato;11.234571725039183;all_all_topic;topic 0;compartir dato;0.16831834731102208
all_all_topic;topic 0;mas importante;0.5070168602329083;all_all_topic;topic 0;gracia escribirnos;11.024718070618682;all_all_topic;topic 0;gracia escribirnos;0.1641103886282466
all_all_topic;topic 0;bueno noticiar;0.4768869903501082;all_all_topic;topic 0;medellinconecta radiar;10.176662834417247;all_all_topic;topic 0;medellinconecta radiar;0.15148651257991988
all_all_topic;topic 0;vigencia futuro;0.4335002211125282;all_all_topic;topic 0;medellinmecuida compartir;9.045922519481998;all_all_topic;topic 0;medellinmecuida compartir;0.1346546778488177
all_all_topic;topic 0;compartir dato;0.42856750657868076;all_all_topic;topic 0;reactivacion economica;8.097884520814215;all_all_topic;topic 0;plan desarrollar;0.12364300930115942
all_all_topic;topic 0;dato actualizar;0.4283785102322421;all_all_topic;topic 0;plan desarrollar;8.086548210886527;all_all_topic;topic 0;reactivacion economica;0.12253727088338966
all_all_topic;topic 0;hoy hablar;0.42494789753211143;all_all_topic;topic 0;ninos ninas;7.251550160307147;all_all_topic;topic 0;ninos ninas;0.1096601602936137
all_all_topic;topic 0;usar tecnologia;0.42470891515207954;all_all_topic;topic 0;procesar proveedor;6.219071732143877;all_all_topic;topic 0;procesar proveedor;0.09257509102106216
all_all_topic;topic 1;gracia escribirnos;0.5171484919495393;all_all_topic;topic 1;bueno noticiar;1.1075394945335855;all_all_topic;topic 1;bueno noticiar;0.12168930002182955
all_all_topic;topic 1;dato actualizar;0.5080066583441284;all_all_topic;topic 1;cuidar total;0.9532224021776873;all_all_topic;topic 1;usar tapaboca;0.11297182883955195
all_all_topic;topic 1;medellinconecta radiar;0.5054517639733965;all_all_topic;topic 1;usar tapaboca;0.8370097219392614;all_all_topic;topic 1;cuidar total;0.08801401167160786
all_all_topic;topic 1;compartir dato;0.49892224651121786;all_all_topic;topic 1;recorrer territorio;0.7469294827675893;all_all_topic;topic 1;noviolencia noviolencia;0.07929654048933027
all_all_topic;topic 1;redar social;0.49621067197744434;all_all_topic;topic 1;ruta noticiar;0.7329605097183072;all_all_topic;topic 1;capturar alias;0.07810194411044158
all_all_topic;topic 1;radiar hablar;0.4719546285340561;all_all_topic;topic 1;ciencia tecnologia;0.7152259760873548;all_all_topic;topic 1;junto directivo;0.06914247126877641
all_all_topic;topic 1;plan desarrollar;0.45879953418549774;all_all_topic;topic 1;debajo pie;0.7119506477265429;all_all_topic;topic 1;mas importante;0.06109395251411088
all_all_topic;topic 1;ninos ninas;0.44490299971827874;all_all_topic;topic 1;junto directivo;0.7001490593941849;all_all_topic;topic 1;policia metropolitano;0.05947240536699771
all_all_topic;topic 1;procesar proveedor;0.44338527594036686;all_all_topic;topic 1;encontrar programacion;0.6752241108049543;all_all_topic;topic 1;cuidar intensivo;0.05947240536699771
all_all_topic;topic 1;medellinmecuida compartir;0.4379568983298084;all_all_topic;topic 1;cabezote sur;0.6597928025116556;all_all_topic;topic 1;ruta noticiar;0.05887510717755336
all_all_topic;topic 2;radiar hablar;31.396802982390824;all_all_topic;topic 2;bueno noticiar;4.863235589817944;all_all_topic;topic 2;redar social;0.38092806801161844
all_all_topic;topic 2;dato actualizar;30.641949634671242;all_all_topic;topic 2;usar tapaboca;4.445812590476029;all_all_topic;topic 2;verdad casar;0.10546741326103799
all_all_topic;topic 2;compartir dato;30.034249743850037;all_all_topic;topic 2;plan desarrollar;3.4452051776620913;all_all_topic;topic 2;aprender bueno;0.052733706630518996
all_all_topic;topic 2;gracia escribirnos;29.21957614335148;all_all_topic;topic 2;junto directivo;3.249704459886958;all_all_topic;topic 2;pequeno fake;0.052733706630518996
all_all_topic;topic 2;medellinconecta radiar;26.639099498313193;all_all_topic;topic 2;cuidar total;3.1975120360166627;all_all_topic;topic 2;practicar cacharreandodatos;0.052733706630518996
all_all_topic;topic 2;medellinmecuida compartir;23.926518320147284;all_all_topic;topic 2;mas importante;3.0288369850398396;all_all_topic;topic 2;llevar mesar;0.052733706630518996
all_all_topic;topic 2;plan desarrollar;21.880386962353864;all_all_topic;topic 2;capturar alias;2.878290213276827;all_all_topic;topic 2;hablar realizar;0.052733706630518996
all_all_topic;topic 2;reactivacion economica;21.72453974800253;all_all_topic;topic 2;personar mayor;2.8451153189906457;all_all_topic;topic 2;clase redar;0.052733706630518996
all_all_topic;topic 2;ninos ninas;19.63783976759733;all_all_topic;topic 2;noviolencia noviolencia;2.788840436165219;all_all_topic;topic 2;aplicar periodista;0.052733706630518996
all_all_topic;topic 2;procesar proveedor;16.720659919863493;all_all_topic;topic 2;vigencia futuro;2.2793417741009057;all_all_topic;topic 2;taller perfilar;0.052733706630518996
all_all_topic;topic 3;dato actualizar;0.5024897022894529;all_all_topic;topic 3;alcade gracia;13.22389262205331;all_all_topic;topic 3;seguir ahora;0.1410706079495081
all_all_topic;topic 3;compartir dato;0.49854721100667454;all_all_topic;topic 3;abrazar enorme;13.22389262205331;all_all_topic;topic 3;volver instalaci;0.1410706079495081
all_all_topic;topic 3;personar mayor;0.4555097959417709;all_all_topic;topic 3;inte opinion;13.22389262205331;all_all_topic;topic 3;representar jose;0.1410706079495081
all_all_topic;topic 3;redar social;0.44869914298152663;all_all_topic;topic 3;representar jose;13.22389262205331;all_all_topic;topic 3;lina convertir;0.1410706079495081
all_all_topic;topic 3;plan desarrollar;0.43993580325143056;all_all_topic;topic 3;ahora inte;13.22389262205331;all_all_topic;topic 3;pedir director;0.1410706079495081
all_all_topic;topic 3;gracia escribirnos;0.43466441222171226;all_all_topic;topic 3;hacer cercar;13.22389262205331;all_all_topic;topic 3;director cancelar;0.1410706079495081
all_all_topic;topic 3;actualizar casar;0.4217720360352691;all_all_topic;topic 3;jose hacer;13.22389262205331;all_all_topic;topic 3;enorme pedir;0.1410706079495081
all_all_topic;topic 3;junto directivo;0.4068036999383506;all_all_topic;topic 3;delfallopienso doctor;13.22389262205331;all_all_topic;topic 3;inte opinion;0.1410706079495081
all_all_topic;topic 3;procesar proveedor;0.4041914492686399;all_all_topic;topic 3;monteria salir;13.22389262205331;all_all_topic;topic 3;admirar sintesis;0.1410706079495081
all_all_topic;topic 3;mas importante;0.4007401479649049;all_all_topic;topic 3;respete delfallopienso;13.22389262205331;all_all_topic;topic 3;gran informador;0.1410706079495081
